text,script_type,vertical,source_url,date_scraped
TRENDING Breaking|Feedback|ePratibha|E-PAPER|Pratibha  ఆంధ్రప్రదేశ్  తెలంగాణ  ఫీచర్ పేజీలు  ఇంకా,Code-mixed,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
డబుల్‌ ఇంజిన్‌ సర్కారు అధికారంలో ఉంటే ఎలా ఉంటుందో చూపించామని ఏపీ ముఖ్యమంత్రి చంద్రబాబు అన్నారు,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
By Andhra Pradesh News Team Published : 23 Jun 2025 18:58 IST Font size ABC ABC ABC   1 min read  అమరావతి: డబుల్‌ ఇంజిన్‌ సర్కారు అధికారంలో ఉంటే ఎలా ఉంటుందో చూపించామని ఏపీ ముఖ్యమంత్రి చంద్రబాబు అన్నారు,Code-mixed,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
స్వర్ణాంధ్రప్రదేశ్‌ విజన్‌ 2047ను లక్ష్యంగా పెట్టుకున్నామన్న ఆయన,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
"అన్నీ చేసేశామని చెప్పట్లేదని, ఊహించిన దానికంటే ఎక్కువే చేశామని తెలిపారు",Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
ఏడాది పాలన సందర్భంగా అమరావతిలో కూటమి ప్రభుత్వం నిర్వహించిన  ‘సుపరిపాలనలో తొలి అడుగు’ సమావేశంలో ఆయన మాట్లాడారు,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
సీఎం పదవి తనకు కొత్తకాదని,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
నాలుగుసార్లు సీఎం అయినట్లు గుర్తు చేశారు,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
ప్రతిసారీ సమర్థంగా పరిపాలించి సుపరిపాలన అందించానన్నారు,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
‘‘మూడు పార్టీలు కలిసి అధికారంలో ఉన్నా ఎలాంటి సమస్య రాలేదు,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
ఎన్ని ఇబ్బందులు ఉన్నా చెప్పిన మాట నిలబెట్టుకుంటాం,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
సుపరిపాలన అందించేందుకు అధికారులు కూడా కలిసి రావాలి,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
వైకాపా ప్రభుత్వ విధానాలతో పెట్టుబడిదారుల్లో నమ్మకం పోయింది,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
మూడు రాజధానుల నమూనాతో రాష్ట్ర అభివృద్ధి కుంటుపడింది,Telugu,General,https://www.eenadu.net/telugu-news/andhra-pradesh/chandrababu-speech-at-suparipalanalo-tholi-adugu-program-in-amaravati/1701/125112561,2025-06-23
