text,script_type,vertical,source_url,date_scraped
TRENDING Breaking|Feedback|ePratibha|E-PAPER|Pratibha  ఆంధ్రప్రదేశ్  తెలంగాణ  ఫీచర్ పేజీలు  ఇంకా,Code-mixed,General,https://www.eenadu.net/movies/new-updates,2025-06-23
రివ్యూ: కొల్లా,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
మలయాళ మూవీ తెలుగులో రివ్యూ: కేరళ క్రైమ్‌ ఫైల్స్‌ 2,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఈసారి ఇన్వెస్టిగేషన్‌ ఎలా సాగింది,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
రివ్యూ: ‘సితారే జమీన్‌ పర్‌’,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఆమిర్‌ఖాన్‌ సరికొత్త ప్రయోగం ఫలించిందా,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
రివ్యూ: కుబేర,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
"నాగార్జున, ధనుష్‌ల క్రైమ్‌ డ్రామా ఎలా ఉంది",Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
రివ్యూ: 8 వసంతాలు,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
న్యూఏజ్‌ రొమాంటిక్‌ డ్రామా ఎలా ఉంది,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
విజయ్‌ దేవరకొండ సినిమాలో నటిస్తున్నారా,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
: కీర్తి సురేశ్‌ ఏమన్నారంటే,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఆ విషయంలో ఎంతో అదృష్టవంతుడిని: శేఖర్‌ కమ్ముల ‘ది రాజాసాబ్‌’ రన్‌టైమ్‌,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
పార్ట్‌ 2పై మారుతి క్లారిటీ పవన్‌ కల్యాణ్‌తో సినిమా: మనసులో మాట బయటపెట్టిన ధనుష్‌  అందుకే సిరివెన్నెల నాకు త్వరగా పాటలు రాసేవారు: మణిరత్నం ఐశ్వర్య - సల్మాన్‌ ఖాన్‌ మూవీ,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
